06:56.0,Innsbruck,Malm̦,None,0,0,0,550,0,0,0,0,0,0.001,0,2.14,0.01,6.15,51.5,Normal
06:57.0,Innsbruck,Malm̦,None,0,0,0,550,0,0,0,0,0.004,0,-0.002,2.14,0.01,6.15,51.5,Normal
06:58.0,Innsbruck,Malm̦,None,0,0,0,550,0,0,0,0,-0.004,0,0.001,2.14,0.01,6.15,51.5,Normal
06:59.0,Innsbruck,Malm̦,None,0,0,0,550,4,0,0,0,0,0,0,2.14,0.01,6.15,51.5,Normal
07:00.0,Innsbruck,Malm̦,None,0,0,0,550,4,0,0,0,0,0,0,2.14,0.01,6.15,51.5,Normal
07:01.0,Innsbruck,Malm̦,None,0,0.6,0,843.7,4,0.46,0,0,-0.001,0.015,-0.82,2.14,0.01,6.15,51.5,Normal
07:02.0,Innsbruck,Malm̦,None,0,3.7,0,609.8,4,0.19,0,-1,0.071,0.019,-0.376,2.14,0.01,6.15,51.5,Normal
07:03.0,Innsbruck,Malm̦,None,0,10.1,0,1022.1,4,0.32,0,-1,0.362,-0.048,-2.635,2.14,0.01,6.15,51.5,Normal
07:04.0,Innsbruck,Malm̦,None,0,15.5,0,1410.5,4,0.3,0,-1,0.225,0.159,-0.396,2.14,0.01,6.15,51.5,Normal
07:05.0,Innsbruck,Malm̦,None,0,16.3,0,1006.6,6,0.34,0,-1,-0.054,-0.028,-0.471,2.14,0.01,6.15,51.5,Normal
07:06.0,Innsbruck,Malm̦,None,0,22,0,1384.1,6,0.49,0,0,-0.031,-0.027,-2.152,2.14,0.01,6.15,51.5,Normal
07:07.0,Innsbruck,Malm̦,None,0,25.8,0,946.7,8,0.37,0,1,-0.275,0.043,-0.379,2.14,0.01,6.15,51.5,Normal
07:08.0,Innsbruck,Malm̦,None,0,29.1,0,1076.8,8,0.55,0,1,-0.217,-0.039,-1.623,2.14,0.01,6.15,51.5,Normal
07:09.0,Innsbruck,Malm̦,None,0,36.1,0,1331.5,8,0.57,0,1,-0.174,0.067,-1.989,2.14,0.01,6.15,51.5,Normal
07:10.0,Innsbruck,Malm̦,None,0,38.1,0,1397.8,8,0,0,-1,0.045,0.093,0.23,2.14,0.01,6.15,51.5,Normal
07:11.0,Innsbruck,Malm̦,None,0,36.7,0,1345.3,8,0,0.07,-1,0.219,0.009,0.49,2.14,0.01,6.15,51.5,Normal
