49:12.4,Tallinn,Зеница,None,0,0,0,550,4,0,0,0,0.002,0.001,0,1.29,28.97,5.68,72.4,Normal
49:13.4,Tallinn,Зеница,None,0,0.7,0,778.8,4,0.29,0,0,0.002,0.002,-0.761,1.29,28.97,5.68,72.4,Normal
49:14.4,Tallinn,Зеница,None,0,7.4,0,824.7,4,0.38,0,-1,0.001,-0.026,-2.728,1.29,28.97,5.68,72.4,Normal
49:15.4,Tallinn,Зеница,None,0,15.9,0,1497.6,4,0.37,0,-1,0.044,-0.016,-1.192,1.29,28.97,5.68,72.4,Normal
49:16.4,Tallinn,Зеница,None,0,16.4,0,1006.5,6,0.39,0,-1,0.04,0.004,-0.023,1.29,28.97,5.68,72.4,Normal
49:17.4,Tallinn,Зеница,None,0,21.3,0,1311.4,6,0.42,0,0,-0.008,-0.023,-1.906,1.29,28.97,5.68,72.4,Normal
49:18.4,Tallinn,Зеница,None,0,24.9,0,1206.5,6,0,0,1,-0.067,0.055,-0.163,1.29,28.97,5.68,72.4,Normal
49:19.4,Tallinn,Зеница,None,0,24.6,0,906,8,0.3,0,1,-0.136,0.013,0.081,1.29,28.97,5.68,72.4,Normal
49:20.4,Tallinn,Зеница,None,0,25.4,0,932.2,8,0,0,1,-0.008,-0.001,0.031,1.29,28.97,5.68,72.4,Normal
49:21.4,Tallinn,Зеница,None,0,24.5,0,899.8,8,0.22,0,1,0.02,0.006,0.192,1.29,28.97,5.68,72.4,Normal
49:22.4,Tallinn,Зеница,None,0,24.1,0,874.9,8,0,0,-1,0.111,0.019,0.296,1.29,28.97,5.68,72.4,Normal
49:23.4,Tallinn,Зеница,None,0,23.6,0,1116.7,7,0,0,-1,0.237,-0.009,0.096,1.29,28.97,5.68,72.4,Normal
49:24.4,Tallinn,Зеница,None,0,22.3,0,1050.9,7,0,0,0,0.023,-0.01,0.425,1.29,28.97,5.68,72.4,Normal
49:25.4,Tallinn,Зеница,None,0,20,0,940.3,7,0,0.11,1,-0.123,0.033,1.141,1.29,28.97,5.68,72.4,Normal
49:26.4,Tallinn,Зеница,None,0,13.8,0,1074.3,7,0,0.22,1,-0.147,-0.005,1.991,1.29,28.97,5.68,72.4,Normal
49:27.4,Tallinn,Зеница,None,0,6.2,0,565.2,5,0,0.21,1,-0.024,-0.003,2.254,1.29,28.97,5.68,72.4,Normal
49:28.4,Tallinn,Зеница,None,0,5.1,0,529.8,4,0,0,1,-0.068,-0.075,-1.679,1.29,28.97,5.68,72.4,Normal
49:29.4,Tallinn,Зеница,None,0,5.4,0,538.5,4,0,0.15,0,0.008,0.004,0.33,1.29,28.97,5.68,72.4,Normal
49:30.4,Tallinn,Зеница,None,0,4.9,0,511.5,4,0,0.26,0,-0.003,-0.003,0.233,1.29,28.97,5.68,72.4,Normal
