Timestamp,Source_City,Destination_City,Cargo,Cargo_Mass_kg,Speed_kmh,Speed_Limit_kmh,RPM,Gear,Throttle,Brake,Steering,Accel_X,Accel_Y,Accel_Z,Engine_Wear_%,Tire_Wear_%,Chassis_Wear_%,Fuel_%,Driving_Status
2026-06-29 20:43:21.271,,,None,0,0.0,0,550.0,0,0.0,0.0,0.0,-0.001,0.001,-0.001,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:22.281,,,None,0,0.0,0,550.0,0,0.0,0.0,0.0,-0.001,0.0,-0.001,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:23.267,,,None,0,-0.0,0,550.0,0,0.0,0.0,0.0,0.002,-0.0,0.0,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:34.272,Malmö,Hamburg,None,0,-0.0,0,550.0,4,0.0,0.0,0.0,0.001,-0.0,0.001,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:35.272,Malmö,Hamburg,None,0,0.7,0,790.7,4,0.36,0.0,0.0,0.002,0.005,-0.726,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:36.272,Malmö,Hamburg,None,0,7.4,0,826.4,4,0.39,0.0,0.0,-0.002,-0.009,-2.692,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:37.297,Malmö,Hamburg,None,0,16.9,0,1446.7,4,0.43,0.0,-1.0,0.044,0.262,-0.942,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:38.286,Malmö,Hamburg,None,0,18.2,0,1117.5,6,0.27,0.0,-1.0,0.075,0.011,-0.517,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:39.293,Malmö,Hamburg,None,0,20.6,0,1262.9,6,0.11,0.0,-1.0,0.048,0.005,-0.558,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:40.273,Malmö,Hamburg,None,0,21.2,0,1295.2,6,0.09,0.0,-1.0,0.034,-0.001,-0.143,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:41.297,Malmö,Hamburg,None,0,22.3,0,1361.9,6,0.13,0.0,-1.0,0.02,0.013,-0.44,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:42.285,Malmö,Hamburg,None,0,22.0,0,1345.3,6,0.0,0.0,-1.0,-0.001,-0.331,0.404,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:43.287,Malmö,Hamburg,None,0,20.3,0,1238.6,6,0.21,0.0,-1.0,-0.032,0.02,0.459,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:44.295,Malmö,Hamburg,None,0,21.8,0,1337.3,6,0.18,0.0,-1.0,-0.01,-0.012,-0.619,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:45.288,Malmö,Hamburg,None,0,23.4,0,1428.6,6,0.0,0.0,-1.0,-0.018,0.009,-0.048,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:46.298,Malmö,Hamburg,None,0,21.8,0,1330.2,6,0.0,0.0,-1.0,-0.008,0.006,0.518,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:47.275,Malmö,Hamburg,None,0,19.4,0,1174.9,6,0.0,0.09,-1.0,0.008,0.018,1.211,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:48.296,Malmö,Hamburg,None,0,12.5,0,755.0,6,0.0,0.0,-1.0,0.041,0.002,2.192,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:49.277,Malmö,Hamburg,None,0,10.0,0,976.3,4,0.0,0.0,-1.0,0.242,-0.007,0.158,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:50.278,Malmö,Hamburg,None,0,8.2,0,795.4,4,0.0,0.0,-1.0,0.103,-0.005,0.582,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:51.278,Malmö,Hamburg,None,0,9.6,0,985.6,4,0.45,0.0,-1.0,0.466,-0.057,-1.324,2.6,4.19,6.64,22.3,Normal
2026-06-29 20:43:52.302,Malmö,Hamburg,None,0,12.5,0,1216.9,4,0.0,0.0,-1.0,0.113,0.041,0.134,2.6,4.19,6.64,22.3,Normal
